iso3,income_cat,hazard,EPR,N_q,l,di_lab
KAZ,0.6,Earthquake,0.6793,4118514.2,21085.112439467477,5.838612095629297
KAZ,0.6,Flood,0.6793,4118514.2,21085.112439467477,24.700659304677977
KAZ,0.8,Earthquake,0.6793,4118514.2,26853.54874960823,5.2577533730707104
KAZ,0.8,Flood,0.6793,4118514.2,26853.54874960823,14.096963236436988
KAZ,1.0,Earthquake,0.6793,4118514.2,48650.999596569265,1.217344791569883
KAZ,1.0,Flood,0.6793,4118514.2,48650.999596569265,8.453264958157773
KEN,0.2,Earthquake,0.63621,11286588.8,1928.0111944690434,1.5279316145579456
KEN,0.2,Flood,0.63621,11286588.8,1928.0111944690434,1.3148604093439407
KEN,0.2,Tsunami,0.63621,11286588.8,1928.0111944690434,0.2816689121438828
KEN,0.4,Earthquake,0.63621,11286588.8,2991.962650968339,2.5827412140863553
KEN,0.4,Flood,0.63621,11286588.8,2991.962650968339,2.0683134295405345
KEN,0.4,Tsunami,0.63621,11286588.8,2991.962650968339,0.4761194160717364
KEN,0.6,Earthquake,0.63621,11286588.8,3966.7019660858095,1.9866293748690236
KEN,0.6,Flood,0.63621,11286588.8,3966.7019660858095,1.8961342767783682
KEN,0.6,Tsunami,0.63621,11286588.8,3966.7019660858095,0.6165554187368592
KEN,0.8,Earthquake,0.63621,11286588.8,5707.122212351264,1.5724514822964113
KEN,0.8,Flood,0.63621,11286588.8,5707.122212351264,4.048766928311611
KEN,0.8,Tsunami,0.63621,11286588.8,5707.122212351264,0.5146393652918759
KEN,1.0,Earthquake,0.63621,11286588.8,12124.150710110976,1.4872576784953444
KEN,1.0,Flood,0.63621,11286588.8,12124.150710110976,9.508474024849345
KEN,1.0,Tsunami,0.63621,11286588.8,12124.150710110976,1.2212310637848707
KOR,0.2,Earthquake,0.60274,10350213.0,10577.773869534914,2.78461774022562
KOR,0.2,Flood,0.60274,10350213.0,10577.773869534914,0.2348509247020823
KOR,0.2,Storm surge,0.60274,10350213.0,10577.773869534914,6.855882331008845
KOR,0.2,Tsunami,0.60274,10350213.0,10577.773869534914,0.9148064203672893
KOR,0.2,Wind,0.60274,10350213.0,10577.773869534914,10.427760233992212
KOR,0.4,Earthquake,0.60274,10350213.0,18490.279438026802,1.4311950342434407
KOR,0.4,Flood,0.60274,10350213.0,18490.279438026802,0.24597172398254147
KOR,0.4,Storm surge,0.60274,10350213.0,18490.279438026802,7.18052610829124
KOR,0.4,Tsunami,0.60274,10350213.0,18490.279438026802,0.8692332577981742
KOR,0.4,Wind,0.60274,10350213.0,18490.279438026802,4.649200779241386
KOR,0.6,Earthquake,0.60274,10350213.0,25292.33703939562,2.2065042334077987
KOR,0.6,Flood,0.60274,10350213.0,25292.33703939562,0.10775163656255535
KOR,0.6,Storm surge,0.60274,10350213.0,25292.33703939562,3.1455381416258
KOR,0.6,Tsunami,0.60274,10350213.0,25292.33703939562,0.3560049955791956
KOR,0.6,Wind,0.60274,10350213.0,25292.33703939562,7.351747097221272
KOR,0.8,Earthquake,0.60274,10350213.0,37761.96985604782,3.900682387703409
KOR,0.8,Flood,0.60274,10350213.0,37761.96985604782,0.1911088982972679
KOR,0.8,Storm surge,0.60274,10350213.0,37761.96985604782,5.57894383765716
KOR,0.8,Tsunami,0.60274,10350213.0,37761.96985604782,0.6293495363231194
KOR,0.8,Wind,0.60274,10350213.0,37761.96985604782,13.039099294741836
KOR,1.0,Earthquake,0.60274,10350213.0,73111.86922617305,2.474777328171547
KOR,1.0,Flood,0.60274,10350213.0,73111.86922617305,0.46598155877047825
KOR,1.0,Storm surge,0.60274,10350213.0,73111.86922617305,13.603160129784508
KOR,1.0,Tsunami,0.60274,10350213.0,73111.86922617305,1.5342768337509338
KOR,1.0,Wind,0.60274,10350213.0,73111.86922617305,10.90254525149301
LAO,0.2,Earthquake,0.62982,1553963.8,2884.9391566810414,6.537091491880237
LAO,0.2,Flood,0.62982,1553963.8,2884.9391566810414,46.00039819723867
LAO,0.2,Wind,0.62982,1553963.8,2884.9391566810414,1.105884878852905
LAO,0.4,Earthquake,0.62982,1553963.8,4096.2011514725655,3.731041365490319
LAO,0.4,Flood,0.62982,1553963.8,4096.2011514725655,64.35554790586099
LAO,0.4,Wind,0.62982,1553963.8,4096.2011514725655,1.3720937966474915
LAO,0.6,Earthquake,0.62982,1553963.8,5564.9913829563175,2.1422027180588055
LAO,0.6,Flood,0.62982,1553963.8,5564.9913829563175,52.86010705096698
LAO,0.6,Wind,0.62982,1553963.8,5564.9913829563175,1.1531123173560265
LAO,0.8,Earthquake,0.62982,1553963.8,7968.173647527915,1.5649808596137915
LAO,0.8,Flood,0.62982,1553963.8,7968.173647527915,22.091491346345208
LAO,0.8,Wind,0.62982,1553963.8,7968.173647527915,0.4574745785369373
LAO,1.0,Earthquake,0.62982,1553963.8,17409.7374505911,3.735294038483629
LAO,1.0,Flood,0.62982,1553963.8,17409.7374505911,51.26466253507282
LAO,1.0,Wind,0.62982,1553963.8,17409.7374505911,0.9983764340026673
LBN,0.2,Earthquake,0.40009,1161192.4000000001,3055.674145268523,32.07885551840027
LBN,0.2,Flood,0.40009,1161192.4000000001,3055.674145268523,0.09318294544246902
LBN,0.2,Tsunami,0.40009,1161192.4000000001,3055.674145268523,4.608295617092327
LBN,0.4,Earthquake,0.40009,1161192.4000000001,5239.218242442521,9.023927849740087
LBN,0.4,Flood,0.40009,1161192.4000000001,5239.218242442521,0.02501824494045363
LBN,0.4,Tsunami,0.40009,1161192.4000000001,5239.218242442521,1.219613402564259
LBN,0.6,Earthquake,0.40009,1161192.4000000001,7634.5155622623215,13.926635967681129
LBN,0.6,Flood,0.40009,1161192.4000000001,7634.5155622623215,0.035165709482372264
LBN,0.6,Tsunami,0.40009,1161192.4000000001,7634.5155622623215,1.6797129824581605
LBN,0.8,Earthquake,0.40009,1161192.4000000001,11512.959156840141,97.67682071574247
LBN,0.8,Flood,0.40009,1161192.4000000001,11512.959156840141,0.45585115424774614
LBN,0.8,Tsunami,0.40009,1161192.4000000001,11512.959156840141,25.09338312080659
LBN,1.0,Earthquake,0.40009,1161192.4000000001,19957.899344975624,72.99652579926091
LBN,1.0,Flood,0.40009,1161192.4000000001,19957.899344975624,0.2985261123705406
LBN,1.0,Tsunami,0.40009,1161192.4000000001,19957.899344975624,15.01714110685442
LBR,0.2,Earthquake,0.73381,1122563.4000000001,558.5514225562033,0.49194180487035843
LBR,0.2,Flood,0.73381,1122563.4000000001,558.5514225562033,1.9321281606392697
LBR,0.2,Tsunami,0.73381,1122563.4000000001,558.5514225562033,0.005649105664350556
LBR,0.4,Earthquake,0.73381,1122563.4000000001,894.3389039720546,0.8469973127214332
LBR,0.4,Flood,0.73381,1122563.4000000001,894.3389039720546,3.4770176627437985
LBR,0.4,Tsunami,0.73381,1122563.4000000001,894.3389039720546,0.009726307603081796
LBR,0.6,Earthquake,0.73381,1122563.4000000001,1228.9176084164158,1.0069363566029843
LBR,0.6,Flood,0.73381,1122563.4000000001,1228.9176084164158,4.944401443677679
LBR,0.6,Tsunami,0.73381,1122563.4000000001,1228.9176084164158,0.014016206617458449
LBR,0.8,Earthquake,0.73381,1122563.4000000001,1696.0065935493208,0.5989559277953078
LBR,0.8,Flood,0.73381,1122563.4000000001,1696.0065935493208,4.907597148754888
LBR,0.8,Tsunami,0.73381,1122563.4000000001,1696.0065935493208,0.015431419891368973
LBR,1.0,Earthquake,0.73381,1122563.4000000001,3171.8261401367963,1.0233872809939903
LBR,1.0,Flood,0.73381,1122563.4000000001,3171.8261401367963,8.601398072166122
LBR,1.0,Tsunami,0.73381,1122563.4000000001,3171.8261401367963,0.029180660284422864
LKA,0.2,Earthquake,0.47354,4383200.0,4382.034547786581,0.37003766913750474
LKA,0.2,Flood,0.47354,4383200.0,4382.034547786581,6.552832472343183
LKA,0.2,Storm surge,0.47354,4383200.0,4382.034547786581,0.5410795151030913
LKA,0.2,Tsunami,0.47354,4383200.0,4382.034547786581,5.206284581613323
LKA,0.2,Wind,0.47354,4383200.0,4382.034547786581,1.1503706741782629
LKA,0.4,Earthquake,0.47354,4383200.0,6473.072979296949,0.38558814107489997
LKA,0.4,Flood,0.47354,4383200.0,6473.072979296949,7.882709776900611
LKA,0.4,Storm surge,0.47354,4383200.0,6473.072979296949,0.6167087480906354
LKA,0.4,Tsunami,0.47354,4383200.0,6473.072979296949,5.838038414170008
