iso3,hazard,rp,income_cat,di,dy
COM,all_hazards,250.0,0.4,323.52697467443795,338.48470265580875
COM,all_hazards,250.0,0.6,317.22061605422795,324.6609252036707
COM,all_hazards,250.0,0.8,447.0657437892743,444.21280683629124
COM,all_hazards,250.0,1.0,917.1569495629169,888.8129754525443
COM,all_hazards,250.0,tot,430.63513011905053,430.63501159201553
COM,all_hazards,500.0,0.2,264.63054505546603,280.4582225822546
COM,all_hazards,500.0,0.4,576.6455190656973,603.6190544861705
COM,all_hazards,500.0,0.6,559.2012445049512,572.3515469402078
COM,all_hazards,500.0,0.8,787.9763353824602,783.0058998766839
COM,all_hazards,500.0,1.0,1603.7898315492403,1552.808100501468
COM,all_hazards,500.0,tot,758.448695111563,758.448564877357
COM,all_hazards,1000.0,0.2,420.96793719307243,445.85022365172927
COM,all_hazards,1000.0,0.4,920.1687829904378,962.4343994110293
COM,all_hazards,1000.0,0.6,897.8253384223364,918.1740817073921
COM,all_hazards,1000.0,0.8,1280.8507156806766,1272.7695515675985
COM,all_hazards,1000.0,1.0,2644.5490713837007,2565.133767316145
COM,all_hazards,1000.0,tot,1232.872369134045,1232.872404730779
COM,all_hazards,2500.0,0.2,777.4710136920917,822.6654122958316
COM,all_hazards,2500.0,0.4,1706.6510243286837,1783.0489901220574
COM,all_hazards,2500.0,0.6,1681.2164435909158,1717.5035911110208
COM,all_hazards,2500.0,0.8,2435.56009751897,2420.1675468416247
COM,all_hazards,2500.0,1.0,5122.036998028722,4979.553019001104
COM,all_hazards,2500.0,tot,2344.5871154318766,2344.587711874328
COM,all_hazards,5000.0,0.2,1224.2090782957794,1294.493165878005
COM,all_hazards,5000.0,0.4,2695.6450648872988,2814.018509453973
COM,all_hazards,5000.0,0.6,2675.222779604366,2730.982443334288
COM,all_hazards,5000.0,0.8,3915.8249794458634,3891.02674485424
COM,all_hazards,5000.0,1.0,8339.395251645912,8119.783779188028
COM,all_hazards,5000.0,tot,3770.059430775844,3770.060928541707
COM,all_hazards,AAL,0.2,6.748617859176472,7.134614799577904
COM,all_hazards,AAL,0.4,14.855420865466385,15.503062758642958
COM,all_hazards,AAL,0.6,15.327168117328352,15.681370570065418
COM,all_hazards,AAL,0.8,21.644048429667706,21.499469921093553
COM,all_hazards,AAL,1.0,45.983695401909834,44.74035419837249
COM,all_hazards,AAL,tot,20.91179013470975,20.911774449550467
CRI,Earthquake,10.0,0.2,1.5212071843291834,1.089784609300914
CRI,Earthquake,10.0,0.4,5.350203038303679,5.788622586087545
CRI,Earthquake,10.0,0.6,7.176546471423004,7.76625332212351
