iso3,hazard,JEL,h_week,JEL_adj,pop,JEL_pop_share,JEL_adj_pop_share
DZA,Flood,2212.547327283567,43.7,2417.207955057297,46814308.0,4.7262202984685086e-05,5.163395676076846e-05
DZA,Tsunami,80.99488274433823,43.7,88.48690939818951,46814308.0,1.7301309408298468e-06,1.8901680528566077e-06
DZA,all_hazards,21380.10913647959,43.7,23357.769231603954,46814308.0,0.00045670031342724514,0.0004989450924192654
ECU,Earthquake,34109.15750853701,38.35,32702.154761309863,18135478.0,0.001880797269778994,0.0018032143824006108
ECU,Flood,19706.42327187053,38.35,18893.53331190587,18135478.0,0.0010866227662634825,0.0010417995771551138
ECU,Tsunami,1121.8488227484113,38.35,1075.5725588100393,18135478.0,6.18593467869119e-05,5.930764873195177e-05
ECU,all_hazards,54937.42960315596,38.35,52671.26063202578,18135478.0,0.0030292793828293886,0.0029043216082876764
EGY,Earthquake,4070.585601728109,44.44,4522.4206035199295,116538258.0,3.492917837958509e-05,3.8806317179719034e-05
EGY,Flood,550.8195104623018,44.44,611.9604761236172,116538258.0,4.726512305189097e-06,5.251155171065087e-06
EGY,Tsunami,843.9422224613876,44.44,937.6198091546015,116538258.0,7.24176109154976e-06,8.045596572711783e-06
EGY,all_hazards,5465.3473346517985,44.44,6072.000888798148,116538258.0,4.689745177632395e-05,5.2103068923495904e-05
ESP,Earthquake,8401.321162714186,36.56,7678.807542720768,48807137.0,0.00017213304608943128,0.0001573296041257402
ESP,Flood,2063.5469755490367,36.56,1886.0819356518198,48807137.0,4.227961528554803e-05,3.86435683709909e-05
ESP,Tsunami,1456.9539409943889,36.56,1331.6559020688715,48807137.0,2.9851247799976237e-05,2.7284040489178282e-05
ESP,all_hazards,11921.822079257612,36.56,10896.54538044146,48807137.0,0.0002442639091749555,0.0002232572129859094
EST,Earthquake,88.26078447940958,36.39,80.29524868014286,1371986.0,6.433067427758707e-05,5.852483092403484e-05
EST,Flood,29.578639747576688,36.39,26.90916751035789,1371986.0,2.15589953159702e-05,1.9613295988703887e-05
EST,all_hazards,117.83942422698627,36.39,107.20441619050075,1371986.0,8.588966959355727e-05,7.813812691273873e-05
ETH,Earthquake,34346.53551958779,31.92,27408.535344631062,132059767.0,0.0002600832660835135,0.00020754644633464377
ETH,Flood,53319.390940839774,31.92,42548.87397079014,132059767.0,0.0004037519689160119,0.0003221940711949775
ETH,all_hazards,87665.92646042757,31.92,69957.4093154212,132059767.0,0.0006638352349995254,0.0005297405175296213
FIN,Earthquake,288.84132476173005,34.34,247.97027730794525,5637214.0,5.123831111640077e-05,4.3988090093430064e-05
FIN,all_hazards,288.84132476173005,34.34,247.97027730794525,5637214.0,5.123831111640077e-05,4.3988090093430064e-05
FRA,Earthquake,8420.171450522947,35.83,7542.3685768059295,68516699.0,0.00012289225215772503,0.0001100807348702822
FRA,Flood,1438.9572491879537,35.83,1288.9459559601096,68516699.0,2.1001555389992647e-05,1.8812143240585912e-05
FRA,Storm surge,858.1552180423478,35.83,768.692536561433,68516699.0,1.2524760103261071e-05,1.1219053862496105e-05
FRA,Tsunami,598.3051136638707,35.83,535.9318055644121,68516699.0,8.732252463941244e-06,7.82191514457537e-06
FRA,Wind,542.0725791099251,35.83,485.56151273771536,68516699.0,7.911539624959532e-06,7.086761619057499e-06
FRA,all_hazards,11857.661610527044,35.83,10621.5003876296,68516699.0,0.00017306235973987952,0.00015502060873699708
GAB,Earthquake,73.55087402247321,41.05489361702128,75.49058271078928,2538952.0,2.896898957620042e-05,2.9732969631087664e-05
GAB,Flood,815.6508698668097,41.05489361702128,837.1614922753184,2538952.0,0.0003212549389932577,0.0003297271836077714
GAB,all_hazards,889.2017438892829,41.05489361702128,912.6520749861077,2538952.0,0.0003502239285694581,0.000359460153238859
GBR,Earthquake,24774.97119971378,35.08,21727.649742148984,69226000.0,0.0003578853494310487,0.00031386545145102975
GBR,Flood,448.2420976173609,35.08,393.1083196104255,69226000.0,6.475054135980136e-06,5.678622477254579e-06
GBR,Storm surge,0.5495726521887844,35.08,0.48197521596956383,69226000.0,7.938818539115135e-09,6.962343858803973e-09
GBR,Tsunami,483.8603563795877,35.08,424.3455325448984,69226000.0,6.989575540686848e-06,6.129857749182365e-06
GBR,Wind,0.7529669995438362,35.08,0.6603520585999443,69226000.0,1.0876939293673419e-08,9.539075760551589e-09
GBR,all_hazards,25708.37619336246,35.08,22546.245921578877,69226000.0,0.0003713687948655485,0.00032569043309708603
GEO,Earthquake,10964.748976162138,40.5,11101.808338364164,3673850.0,0.0029845391009872854,0.003021845839749626
GEO,Flood,1558.0073192850468,40.5,1577.4824107761099,3673850.0,0.0004240802752657422,0.0004293812787065639
GEO,all_hazards,12522.756295447187,40.5,12679.290749140277,3673850.0,0.003408619376253028,0.003451227118456191
GHA,Earthquake,2322.478845478734,35.7,2072.8123695897702,34427414.0,6.746015967039332e-05,6.0208192505826035e-05
GHA,Flood,4963.292906221229,35.7,4429.738918802447,34427414.0,0.0001441668812598364,0.00012866894152440398
GHA,all_hazards,7285.771751699963,35.7,6502.551288392217,34427414.0,0.0002116270409302297,0.00018887713403023003
GIN,Earthquake,821.5213907331746,41.05489361702128,843.1868325164463,14754785.0,5.567830305444468e-05,5.7146670216912437e-05
GIN,Flood,7799.952493741197,41.05489361702128,8005.655496209116,14754785.0,0.0005286388445335663,0.0005425802881037654
GIN,Tsunami,0.001265755432335915,41.05489361702128,0.001299136365492944,14754785.0,8.578609802419452e-11,8.804847820506663e-11
GIN,all_hazards,8621.475150229804,41.05489361702128,8848.84362786193,14754785.0,0.0005843172333741091,0.0005997270463691562
GMB,Earthquake,60.01440756516905,41.57,62.36997306210194,2759988.0,2.1744445108155924e-05,2.2597914578651047e-05
