iso3,hazard,income_cat,delta_l,l_baseline,N_q,EPR,JEL
AUS,Storm surge,0.2,0.23790094160995334,9934.953268974443,5440961.800000001,0.62591,81.54886095425891
AUS,Storm surge,0.4,0.6473296682451366,19320.05176834134,5440961.800000001,0.62591,114.10503097356631
AUS,Storm surge,0.6,0.991392826499314,26461.746166029905,5440961.800000001,0.62591,127.58947193733195
AUS,Storm surge,0.8,0.26852842602983623,40241.09970083106,5440961.800000001,0.62591,22.72521458401285
AUS,Storm surge,1.0,0.7472689747825115,85099.11013971057,5440961.800000001,0.62591,29.904703427755813
AUS,Tsunami,0.2,1.508270467382597,9934.953268974443,5440961.800000001,0.62591,517.0124077426203
AUS,Tsunami,0.4,4.326261765183443,19320.05176834134,5440961.800000001,0.62591,762.5917008473546
AUS,Tsunami,0.6,6.646520978030951,26461.746166029905,5440961.800000001,0.62591,855.3885797235541
AUS,Tsunami,0.8,1.5754293250008202,40241.09970083106,5440961.800000001,0.62591,133.32655317695193
AUS,Tsunami,1.0,4.373226376814369,85099.11013971057,5440961.800000001,0.62591,175.01066180237925
AUS,Wind,0.2,1.328896199321798,9934.953268974443,5440961.800000001,0.62591,455.5256093051228
AUS,Wind,0.4,3.6159332956721877,19320.05176834134,5440961.800000001,0.62591,637.3818487565119
AUS,Wind,0.6,4.869443782010177,26461.746166029905,5440961.800000001,0.62591,626.6837364246684
AUS,Wind,0.8,1.4875199169981081,40241.09970083106,5440961.800000001,0.62591,125.88689328562556
AUS,Wind,1.0,4.119473228541302,85099.11013971057,5440961.800000001,0.62591,164.85580070276782
AUS,all_hazards,0.2,7.519293130611629,49674.766344872216,27204809.000000004,3.12955,2577.5004749157633
AUS,all_hazards,0.4,12.447284318035063,96600.2588417067,27204809.000000004,3.12955,2194.0872361010433
AUS,all_hazards,0.6,18.43595097258722,132308.73083014952,27204809.000000004,3.12955,2372.655103387086
AUS,all_hazards,0.8,8.322135461752893,201205.4985041553,27204809.000000004,3.12955,704.2915975850689
AUS,all_hazards,1.0,14.581489952445022,425495.55069855286,27204809.000000004,3.12955,583.5316964545209
AUT,Earthquake,0.2,5.9303800608862165,6351.213811228923,1835696.4000000001,0.56715,972.1305383998294
AUT,Earthquake,0.4,21.822659981699672,16917.321101943777,1835696.4000000001,0.56715,1342.9965160463403
AUT,Earthquake,0.6,8.841801895642844,24563.97648097469,1835696.4000000001,0.56715,374.74936003601033
AUT,Earthquake,0.8,16.468826806067476,36223.436189992615,1835696.4000000001,0.56715,473.33847739927637
AUT,Earthquake,1.0,17.693007011099343,79085.06559883228,1835696.4000000001,0.56715,232.91956108389894
AUT,Flood,0.2,0.051577027199044605,6351.213811228923,1835696.4000000001,0.56715,8.454703190233172
AUT,Flood,0.4,0.32083594880686356,16917.321101943777,1835696.4000000001,0.56715,19.744685653874182
AUT,Flood,0.6,0.08883058172580527,24563.97648097469,1835696.4000000001,0.56715,3.764979587450002
