iso3,income_cat,y,c,income_share,diversified_share
BDI,0.8,889.2446896268988,894.1143193957408,0.214,0.0264237052987035
BDI,1.0,1897.6866710189352,1880.1469333088012,0.4500000000000001,0.0119601131301088
BEL,0.2,15997.955181634381,28702.848886942953,0.091,0.7168340884931949
BEL,0.4,37007.28837960831,45419.89274417348,0.144,0.5860549828885429
BEL,0.6,50175.14241006948,56774.86593021683,0.18,0.5510127633139308
BEL,0.8,69166.2581876142,70022.33464726743,0.222,0.4981670263145892
BEL,1.0,143069.2776756115,114495.97962593728,0.363,0.3651697012289678
BEN,0.2,1500.7252981722331,1482.5038362786893,0.0759999999999999,0.0318428607180931
BEN,0.4,2353.905902743977,2321.288901541632,0.119,0.030159362677628
BEN,0.6,3182.765779454759,3140.5673373798554,0.161,0.0307472432405054
BEN,0.8,4318.651332394092,4310.9651028630315,0.221,0.0418927866658345
BEN,1.0,8150.581111954536,8251.30424665639,0.423,0.0552727393737852
BFA,0.2,971.5820905902611,929.9954150158314,0.073,0.0345724317665357
BFA,0.4,1416.8825591237014,1426.842280572234,0.1119999999999999,0.0823461578745716
BFA,0.6,1930.9559725887182,1923.6891461286375,0.151,0.0724048273573041
BFA,0.8,2720.120806917496,2688.0689392923346,0.211,0.064876884146908
BFA,1.0,5700.121790174773,5771.067438385912,0.453,0.0872559963216816
BGD,0.2,3764.11604951575,3734.185380906275,0.088,0.0769969837580112
BGD,0.4,5527.917432885535,5431.542372227309,0.128,0.0680891548194518
BGD,0.6,7058.9577518909055,7001.597589199265,0.165,0.0768347966872375
BGD,0.8,9367.104177352176,9250.595602699634,0.2179999999999999,0.0728037966405991
BGD,1.0,16715.82937138148,17016.003837993365,0.401,0.1004892774502335
BGR,0.2,6758.172899281338,10215.343245268745,0.0599400599400599,0.5229750667393808
BGR,0.4,16167.798716289675,19238.896445256138,0.1128871128871128,0.3940518252610381
BGR,0.6,25607.518391278176,26219.38099618977,0.1538461538461538,0.2957776506100475
BGR,0.8,36411.67364033486,36094.21279994956,0.2117882117882117,0.2726091864308124
BGR,1.0,85480.81282804946,78658.14298856932,0.4615384615384615,0.2164085313054673
BIH,0.2,7022.425404771855,7653.484288573875,0.0749250749250749,0.2598054225572899
BIH,0.4,12048.72898149107,12551.714233261158,0.1228771228771228,0.2256163904953041
BIH,0.6,16662.112834184645,17041.7583492245,0.1668331668331668,0.2112604325345288
BIH,0.8,23194.633165683714,23368.63869444557,0.2287712287712287,0.1992958970001949
BIH,1.0,43220.60325203472,41532.90807266091,0.4065934065934066,0.1605082297744177
BLR,0.2,10544.173418879818,14939.388119003348,0.1028971028971029,0.6193138411838736
BLR,0.4,16776.503034734695,21031.177449082385,0.1448551448551448,0.5697457103889462
BLR,0.6,22992.846550108337,26107.668557481586,0.1798201798201798,0.5249798776034756
BLR,0.8,32106.293004751173,32634.585696851973,0.2247752247752247,0.4693606918280861
BLR,1.0,62767.82969174298,50474.82587779772,0.3476523476523476,0.329267052890035
BLZ,0.2,2606.148089063902,3846.75447261675,0.0579420579420579,0.4327777026073089
BLZ,0.4,6127.684074889685,6963.952062495839,0.1048951048951049,0.2633023825177683
BLZ,0.6,10252.311873632028,10081.149652374928,0.1518481518481518,0.1485475116081278
BLZ,0.8,15221.522179254973,14790.10771368164,0.2227772227772228,0.1383410171895599
BLZ,1.0,32182.010112286407,30707.71242795784,0.4625374625374626,0.1225661716382096
BOL,0.2,2268.509325933422,2559.5119814358354,0.0519999999999999,0.2520326135348638
BOL,0.4,4927.017341501232,4922.138425838145,0.0999999999999999,0.155247419189317
BOL,0.6,7516.130953080435,7284.764870240456,0.148,0.1292809240652195
BOL,0.8,11134.672834353769,10976.368689619065,0.2229999999999999,0.1439127397143053
BOL,1.0,23375.053803512583,23478.600291247953,0.477,0.1598058051273927
BRA,0.2,2985.768977867414,3634.863282103613,0.037,0.3665836696567048
BRA,0.4,7157.323580897449,7662.684756867075,0.0779999999999999,0.2797374605919791
BRA,0.6,11975.06935967643,12279.943520620312,0.125,0.2480260376776364
BRA,0.8,19043.381600572277,19058.472344002723,0.1939999999999999,0.2294920594917711
BRA,1.0,57078.004645948946,55603.58426136878,0.566,0.2084340034936425
BTN,0.2,6501.852678089959,6443.916879044084,0.088,0.0427595100950973
BTN,0.4,9926.383184923585,9885.554303078994,0.135,0.0473708308759179
BTN,0.6,12951.969874874847,12887.833758088169,0.176,0.0465679090178242
BTN,0.8,16628.282955609586,16695.602822977853,0.2279999999999999,0.0551145384891663
BTN,1.0,27217.839477457524,27313.420407766404,0.373,0.0546090854892976
BWA,0.2,2859.883644135875,3339.334103809284,0.0369630369630369,0.2768448736325557
BWA,0.4,5708.737739407183,6046.902296087082,0.0669330669330669,0.202831519831967
BWA,0.6,9312.666688932939,9656.993219124142,0.1068931068931068,0.1857174819887825
BWA,0.8,17279.75029851148,17238.18415750198,0.1908091908091908,0.1535741380669141
BWA,1.0,55181.486978015004,54061.11157248002,0.5984015984015985,0.1381108647219601
CAN,0.2,17344.277291267957,23266.948822943566,0.082082082082082,0.5538901994373628
CAN,0.4,31683.594261177135,36602.88290438683,0.1291291291291291,0.4819828462358966
CAN,0.6,43537.003398008674,48520.10059418719,0.1711711711711711,0.4630153987730563
CAN,0.8,62564.288484970944,64125.9809022591,0.2262262262262262,0.4161282279629232
CAN,1.0,128330.37161482674,110943.62182647482,0.3913913913913914,0.3077673124618295
CHE,0.2,13182.85375378526,30380.151381651525,0.0740740740740741,0.7669488783028484
CHE,0.4,38422.045500085,50496.73810733969,0.1231231231231231,0.5913524931450151
CHE,0.6,55989.42250137421,68150.06931559666,0.1661661661661662,0.558763548661315
CHE,0.8,88107.11079219141,90729.91155871602,0.2212212212212212,0.4784545396850203
CHE,1.0,214430.6111048596,170375.17328899162,0.4154154154154154,0.3240537396150378
CHL,0.2,7613.274197603324,8903.922201129062,0.059,0.3693023569233082
CHL,0.4,13317.513364801081,14940.479625623342,0.099,0.3425091779476534
