iso3,income_cat,income_share,transfers,liquidity,axfin,diversified_share,n,c,gamma_SP,k
BRA,0.4,0.07799999999999999,0.2589685460819215,818.0363799050554,0.2076891451005752,0.279737460591979,0.2,7662.684756867075,0.47665547521190366,29531.17917617516
BRA,0.6,0.125,0.2375641620042666,818.022147096658,0.1046187567336968,0.2480260376776363,0.2,12279.943520620312,0.6772774929153054,49409.240047714535
BRA,0.8,0.1939999999999999,0.2056009197607545,875.3245041267286,0.2389113973101653,0.2294920594917711,0.2,19058.472344002716,0.9725876454414154,78573.157662974
BRA,1.0,0.566,0.1652992238823786,817.032678535044,0.4313477961126382,0.2084340034936425,0.2,55603.58426136878,2.577177652017357,235504.34225396905
BTN,0.2,0.088,0.0250069413823963,566.7134948250043,0.1775256871270109,0.042759510095097375,0.2,6443.9168790440835,0.36682578508846425,41987.30245969689
BTN,0.4,0.135,0.0303866173385988,608.4392209315992,0.1698421353731918,0.04737083087591798,0.2,9885.554303078994,0.6234322055810759,64102.04502490719
BTN,0.6,0.176,0.0307723019654084,620.332442843708,0.1579560705241589,0.04656790901782426,0.2,12887.833758088167,0.7989946445785002,83640.5104067983
BTN,0.8,0.22799999999999998,0.0249782373634127,646.9647706343886,0.3013630112575361,0.055114538489166254,0.2,16695.602822977853,1.2250265038844281,107381.20046849553
BTN,1.0,0.37300000000000005,0.0236139545479112,624.9388550536853,0.309951309413864,0.05460908548929755,0.2,27313.420407766404,1.9857208608675316,175765.84936944584
BWA,0.2,0.0369630369630369,0.2688274246066268,473.7959561224932,0.0801744902592873,0.2768448736325555,0.2,3339.3341038092767,0.32880322884584123,13249.405361270808
BWA,0.4,0.0669330669330669,0.1914425429355739,560.9308840180441,0.1138897689639308,0.202831519831967,0.2,6046.902296087077,0.4362225489602184,26447.712502459068
BWA,0.6,0.10689310689310691,0.1749319628090712,664.1651280651396,0.1078551917971134,0.18571748198878257,0.2,9656.993219124142,0.6378733059876769,43144.166445050716
BWA,0.8,0.19080919080919082,0.1276403919493515,763.517532079663,0.2593374611756258,0.1535741380669141,0.2,17238.18415750197,0.941562855487789,80054.4514165702
BWA,1.0,0.5984015984015986,0.1079696463205322,677.7569246878815,0.3014121840142778,0.13811086472196,0.2,54061.11157248002,2.655538060718474,255647.4249952641
CAN,0.2,0.08208208208208202,0.507346757901028,2374.004585085642,0.4654344153633449,0.5538901994373625,0.2,23266.94882294354,0.5661064798587568,78498.24464892791
CAN,0.4,0.12912912912912916,0.4252923478482107,2530.5180155616363,0.5669049838768597,0.4819828462358966,0.2,36602.882904386825,0.7749646365998772,143396.37748546575
CAN,0.6,0.17117117117117114,0.3992179488254085,2700.5761401086306,0.6379744994764767,0.4630153987730562,0.2,48520.10059418717,0.9868522555337178,197043.57158419528
CAN,0.8,0.22622622622622632,0.3399765320555115,2678.276441986117,0.7615169590741179,0.41612822796292326,0.2,64125.98090225909,1.1721851334945315,283158.9198733526
CAN,1.0,0.39139139139139156,0.2314661691626991,2606.7676237355504,0.763011432991304,0.30776731246182953,0.2,110943.62182647482,1.4998914945131163,580808.8015278765
CHE,0.2,0.07407407407407411,0.7009750625788653,3356.751982748917,0.659738157239826,0.766948878302848,0.2,30380.151381651525,0.6136041074326779,57569.157073040886
CHE,0.4,0.1231231231231231,0.534083274958622,3429.583545955172,0.572692181863931,0.591352493145015,0.2,50496.73810733966,0.7863966691447549,167788.00810308548
CHE,0.6,0.16616616616616625,0.5091082408128542,3254.0329431408823,0.4965530784846046,0.5587635486613147,0.2,68150.06931559666,1.0028275964694775,244504.25671186292
CHE,0.8,0.22122122122122126,0.4229304581101797,3543.8489054283914,0.5552408157484044,0.47845453968502016,0.2,90729.911558716,1.1432022618985098,384761.31156283605
CHE,1.0,0.4154154154154155,0.2713721557173149,3477.4445902169164,0.5268158389772293,0.3240537396150378,0.2,170375.1732889916,1.4539693650545797,936412.537264112
CHL,0.2,0.059000000000000004,0.3421280410305811,1110.044158724933,0.2717431589272714,0.36930235692330826,0.2,8903.922201129062,0.41521104352667,34122.70259318002
CHL,0.4,0.09900000000000002,0.3149570686617537,1170.6817032510926,0.2755210928589978,0.34250917794765345,0.2,14940.479625623342,0.6461631887928077,59689.10826446563
CHL,0.6,0.14,0.3213131418336465,1207.6682651153385,0.3072937185829472,0.3520425136919412,0.2,21127.95098572998,0.9391997192548778,83184.94788776606
CHL,0.8,0.203,0.2755395078368465,1216.6186697920414,0.298433032219055,0.305382811058752,0.2,30635.528929308468,1.181341420203607,129303.9420536951
CHL,1.0,0.49900000000000005,0.151102859084683,1338.014948439176,0.4009311538629113,0.19119597447097414,0.2,75306.05387056613,1.8180846282220375,370095.71004970756
CHN,0.2,0.073,0.3899989147383903,823.507233814351,0.2951805566308808,0.4195169704014784,0.2,8703.651198429952,0.4840958652075935,36534.42172683961
CHN,0.4,0.11400000000000002,0.2709347023451059,934.4379325207908,0.385593673559255,0.30949406970103144,0.2,13592.003241383762,0.5577199278908056,67867.54100253952
CHN,0.6,0.15700000000000003,0.2612948353285692,1002.5454563123004,0.4617633136163322,0.30747116669020236,0.2,18718.81148155483,0.763067624369571,93740.52082501742
CHN,0.8,0.21899999999999992,0.2831531139481825,985.7585993527264,0.5265892543553258,0.33581203938371507,0.2,26110.953595289844,1.1625171177009415,125407.9197241704
CHN,1.0,0.4370000000000001,0.2377535250283438,1003.4546592401904,0.5649303243601916,0.2942465574643629,0.2,52102.67909197109,2.032599464831088,265903.6458478464
CIV,0.2,0.07600000000000001,0.0367907764053468,274.492868137609,0.0485559499719115,0.04164637140253791,0.2,2558.598529054138,0.1990113909663894,5060.417788939077
CIV,0.4,0.11599999999999992,0.0665773576956308,278.51215662427745,0.0140873291907981,0.06798609061471061,0.2,3905.2293338194704,0.4958670298395019,7511.512130901731
CIV,0.6,0.15700000000000003,0.0567178845030725,286.9925007040665,0.0398189490960778,0.06069977941268023,0.2,5285.525908703943,0.5992029464853025,10245.922502177737
CIV,0.8,0.21800000000000005,0.0617161738318941,287.91087906722004,0.036568988291247,0.06537307266101877,0.2,7339.13788597108,0.8960712981722523,14156.03972686774
CIV,1.0,0.43300000000000016,0.0877581195960228,298.14294230079014,0.1544852362742804,0.10320664322345086,0.2,14577.278461584761,2.8098473345365527,26979.088248917742
CMR,0.2,0.0539460539460539,0.0252945977111889,176.52430755955953,0.0637432510666379,0.03166892281785272,0.2,1326.841409328608,0.12704603440134077,3415.0835358157015
