iso3,hazard,rp,income_cat,fa,v,v_ew
AGO,Flood,100.0,0.4,0.0026390827300767604,0.7000000000000001,0.6160000000000001
AGO,Flood,100.0,0.6,0.002608083202162928,0.5730836680068498,0.5043136278460278
AGO,Flood,100.0,0.8,0.0026065137405154775,0.4406374970077953,0.38776099736685987
AGO,Flood,100.0,1.0,0.0026200341898414492,0.4406374970077953,0.38776099736685987
AGO,Flood,250.0,0.2,0.00278732161430029,0.7000000000000001,0.6160000000000001
AGO,Flood,250.0,0.4,0.002785605943306615,0.7000000000000001,0.6160000000000001
AGO,Flood,250.0,0.6,0.0027528853058622713,0.5730836680068498,0.5043136278460278
AGO,Flood,250.0,0.8,0.002751228706907224,0.4406374970077953,0.38776099736685987
AGO,Flood,250.0,1.0,0.0027654998184450975,0.4406374970077953,0.38776099736685987
AGO,Flood,500.0,0.2,0.002907575174877262,0.7000000000000001,0.6160000000000001
