iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta
COM,3567.51386511576,3554.22701083097,866628.0,45.3,Comoros,SSA,LMICs,0.2666666666666666,0.3333333333333333,0.3333333333333333,0.2453295509724245,0.08425664877534447,0.27516881865712545,0.5391283688308391,0.0451187848464295,0.574777515841956,3.705328168012808,0.06,1.5
CRI,26973.4361581028,24652.65374815,5129910.0,45.8,Costa Rica,LAC,HICs,0.665176892969537,1.0,1.0,0.432619322553597,0.2671852093067606,0.4396432279498939,0.38498382577783374,0.0601215964929288,0.269521883663997,3.705328168012808,0.06,1.5
CYP,53255.5234375,47253.25,1358282.0,31.8,Cyprus,ECA,HICs,0.2915047815919911,0.8333333333333334,0.7083333333333334,0.1451910922152238,0.36631337571762546,0.5081241352247997,0.26299946308444433,0.0548636940241479,0.1051562660621059,3.705328168012808,0.06,1.5
CZE,47961.80951314829,46413.7086819405,10882164.0,25.7,Czechia,ECA,HICs,0.5393701498150425,1.0,0.925,0.1901309840206049,0.38904648926978913,0.4439798676453324,0.34914386387039553,0.0705664064052864,0.164905171448329,3.705328168012808,0.06,1.5
DEU,62829.7960031194,65408.3978267378,83510950.0,32.4,Germany,ECA,HICs,0.6063789838354662,0.8333333333333334,0.9166666666666669,0.2180023453970511,0.4648226718093607,0.6135782703431435,0.21425868956196437,0.04218910318694,0.0862742215819687,3.705328168012808,0.06,1.5
DNK,73709.0018358619,72119.6409650804,5976992.0,29.9,Denmark,ECA,HICs,0.6982914904907482,0.8333333333333334,0.9166666666666669,0.2117268243790424,0.5140918570734505,0.4982640737893044,0.2408911220684965,0.0526502690037891,0.0841889998659116,3.705328168012808,0.06,1.5
DOM,24229.46812227449,23475.5796880476,11427557.0,39.0,Dominican Republic,LAC,UMICs,0.5853167226634055,0.6666666666666666,1.0,0.2486250864217581,0.17976363583201505,0.3784373985958009,0.4271806480566954,0.0402127088980731,0.4236555940391029,3.705328168012808,0.06,1.5
DZA,15442.124446054197,15956.6764816144,46814308.0,27.6,Algeria,MNA,UMICs,0.8,1.0,1.0,0.2199790705924086,0.19512541349473161,0.258032662434242,0.2891324242136971,0.0451187848464295,0.320940198493035,3.705328168012808,0.06,1.5
ECU,13935.5391125402,13945.6658791476,18135478.0,45.2,Ecuador,LAC,UMICs,0.563095812503476,0.6666666666666666,0.4333333333333333,0.1806050261935844,0.1810890906781567,0.19181950324260272,0.36272601756269296,0.044454248040304,0.507938036477426,3.705328168012808,0.06,1.5
EGY,16798.151577863995,15804.9782194126,116538258.0,28.5,"Egypt, Arab Rep.",MNA,LMICs,0.6082203936160391,0.6666666666666666,0.4666666666666667,0.7411056618723808,0.12348817897940849,0.21380759965059812,0.23221834215971188,0.0423049320085156,0.260877691023584,3.705328168012808,0.06,1.5
