iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta,average_aid_cost_pc,dk,dw,dc,dk_tot,dc_tot,dw_tot,dWpc_currency,dWtot_currency,risk_to_wellbeing,risk_to_consumption,resilience,risk_to_assets
BGR,34085.1952950467,32274.6230621858,6444366.0,39.5,Bulgaria,ECA,HICs,0.4856640200425024,0.8333333333333334,0.7250000000000001,0.3470229186386416,0.27895105638288276,0.4520874395772141,0.3145323648239322,0.0693527494390324,0.112936762960032,3.705328168012808,0.06,1.5,0.0,97.41191821567178,2.790538955352135e-05,109.54787292932532,627758053.7438558,705966587.6780646,179.83254365546816,175.6049563992897,1131662610.451065,0.00515194221066437,0.003213942944467886,0.5547219179518887,0.002857895264277033
BIH,20429.700727633197,19913.9548286205,3164253.0,33.0,Bosnia and Herzegovina,ECA,UMICs,0.202715421325147,0.8333333333333334,0.5666666666666667,0.3638449267006413,0.19328903585136673,0.3897954552734887,0.25627997914117806,0.0382657309893619,0.227038537991475,3.705328168012808,0.06,1.5,0.0,105.34851383021457,6.319946713612929e-05,123.70407707247125,333349350.932798,391430996.98879844,199.97910348389848,184.54675948461374,583952637.3394675,0.009033258095405967,0.0060551096034974815,0.5708499792920927,0.005156635196702624
BLR,29037.5291400434,28074.4955028392,9133712.0,24.4,Belarus,ECA,UMICs,0.7333333333333333,0.8333333333333334,0.5166666666666667,0.3634728967331161,0.46062929239162176,0.5965909687047342,0.25939189533689544,0.0623527820159084,0.0453709688849566,3.705328168012808,0.06,1.5,0.0,110.30225627257548,3.1365039589456234e-05,126.62035440746891,1007469041.743898,1156513850.4957519,286.4792384786915,155.1977168643971,1417531248.8969462,0.0053447287513997185,0.004360576059925726,0.7107208694890228,0.003798610265377787
BLZ,13277.935265825397,11921.5830532649,417072.0,39.9,Belize,LAC,UMICs,0.5020893021045503,0.6666666666666666,0.4333333333333333,0.2461876535285786,0.16276250048130655,0.2773668571009565,0.31068361607682293,0.0416571088016665,0.360459676004445,3.705328168012808,0.06,1.5,0.0,280.0844735738328,0.0003702880107526715,357.41019164348114,116815391.56238559,149065783.44912997,154.43676122063823,566.5463828405522,236290632.98407477,0.042668259145585904,0.02691760311284086,0.4943716561555725,0.021093977939078457
BOL,9844.276851676288,9404.20916239205,12413315.0,42.1,Bolivia,LAC,LMICs,0.3505492399830046,0.5,0.3666666666666666,0.4823807976371062,0.15608392458645348,0.08714808315398351,0.3247043979114604,0.0388710818518428,0.6746049096878189,3.705328168012808,0.06,1.5,0.0,35.115709508420935,7.337796600700292e-05,44.2467075284127,435902363.57652426,549248318.2630583,910.8638061042195,71.6706589705353,889670466.0588304,0.007280439188210273,0.0044946630610940555,0.4899593503508519,0.0035671192549243894
BRA,19647.9096329925,18932.3549097991,211998573.0,51.6,Brazil,LAC,UMICs,0.5291082704872349,0.6666666666666666,0.55,0.2423649776461265,0.22888147793198219,0.29075564868763876,0.37895057995446535,0.0666398587559825,0.312282709904483,3.705328168012808,0.06,1.5,0.0,44.33883739099441,3.375362642115279e-05,62.59337415332773,9399770255.369858,13269705999.760565,7155.720634859489,92.95975434900899,19707335268.42045,0.004731279616275934,0.0031857523432529326,0.476968099813692,0.0022566694482623858
BTN,14645.2656341911,13239.7011889342,791524.0,28.5,Bhutan,SAR,LMICs,0.6,0.8333333333333334,1.0,0.15485283162287,0.05128915470679245,0.1814117372706933,0.506559256129734,0.0185428070886107,0.707052576086817,3.705328168012808,0.06,1.5,0.0,337.3650021514999,0.0003634456999413285,477.7599653675545,267032495.96296373,378158478.8275882,287.6759942003601,644.1476323703642,509858310.5643202,0.043983335533807295,0.03262214406355099,0.5237386356758753,0.023035772144950478
BWA,18068.505069800496,19060.9054268781,2521139.0,54.9,Botswana,SSA,UMICs,0.6,0.6666666666666666,0.6708333333333334,0.2158499620289047,0.15561020086431637,0.38681961523701236,0.26625811100604424,0.0247844741888293,0.3107806505288289,3.705328168012808,0.06,1.5,0.0,29.57462129804928,2.934918767791968e-05,35.17997523710036,74561731.16474268,88693607.58928797,73.99338167312274,71.28192480070948,179711640.61013588,0.003945092553331892,0.001947032978168171,0.4148965025949316,0.001636805102790711
CAN,56691.90701005028,55318.6112749144,41288599.0,31.1,Canada,NMA,HICs,0.7290944203661487,0.6666666666666666,0.825,0.2209511482560882,0.40155396937005305,0.37516708283402195,0.41036124074933444,0.0954167866448495,0.131513080870593,3.705328168012808,0.06,1.5,0.0,51.84950412389554,6.4170087288951165e-06,67.28230920126303,2140793384.1203694,2777992284.4049597,264.94930018685017,86.6192121360219,3576385915.5801415,0.0015278937806884171,0.0011868062436025534,0.598591269134081,0.0009145838772843489
CHE,82026.40873045908,79631.6407153478,9034102.0,33.8,Switzerland,ECA,HICs,0.8346389202560219,1.0,1.0,0.2289916063398242,0.4629290069466026,0.6133628968362187,0.218287494868952,0.0259487589742676,0.166061918423514,3.705328168012808,0.06,1.5,0.0,172.43333270813037,9.629793882660611e-06,187.49853351559506,1557780315.8851862,1693880876.630304,86.996540174932,226.22861574641874,2043772389.971953,0.0027579973236401445,0.0022858313123486867,0.7622083180733074,0.0021021685013024377
