iso3,gdp_pc_pp,gni_pc_pp,pop,gini_index,name,region,income_group,prepare_scaleup,finance_pre,borrowing_ability,avg_prod_k,tau_tax,k_priv_share,k_household_share,owner_occupied_share_of_value_added,self_employment,real_est_k_to_va_shares_ratio,rho,income_elasticity_eta,average_aid_cost_pc,dk,dw,dc,dk_tot,dc_tot,dw_tot,dWpc_currency,dWtot_currency,risk_to_wellbeing,risk_to_consumption,resilience,risk_to_assets
CAN,56691.9070100503,55318.6112749144,41288599.0,31.1,Canada,NMA,HICs,0.7290944203661487,0.6666666666666666,0.825,0.2209511482560882,0.40155396937005305,0.37516708283402195,0.41036124074933467,0.09541678664484955,0.131513080870593,3.705328168012808,0.06,1.5,0.0,51.84950412389659,6.417008728895234e-06,67.28230920126435,2140793384.1204123,2777992284.405014,264.94930018685506,86.61921213602355,3576385915.5802097,0.0015278937806884455,0.0011868062436025761,0.5985912691340818,0.0009145838772843671
CHE,82026.4087304591,79631.6407153478,9034102.0,33.8,Switzerland,ECA,HICs,0.8346389202560219,1.0,1.0,0.22899160633982424,0.46292900694660266,0.6133628968362187,0.21828749486895216,0.025948758974267645,0.166061918423514,3.705328168012808,0.06,1.5,0.0,172.433332708131,9.629793882660642e-06,187.49853351559568,1557780315.8851914,1693880876.63031,86.99654017493225,226.22861574641954,2043772389.9719603,0.002757997323640154,0.002285831312348694,0.7622083180733075,0.002102168501302445
CHL,30182.787122471396,28707.1035801015,19764771.0,43.0,Chile,LAC,HICs,0.5408725972262776,1.0,0.8666666666666667,0.22311463099423323,0.2623827014981074,0.5006053254275413,0.35689577007996554,0.05213276292490724,0.246453204652613,3.705328168012808,0.06,1.5,0.0,422.94858354421586,0.00013772245124783696,502.6587730589143,8359481898.525795,9934935540.65041,2722.0527104721614,722.1771697005116,14273666380.55875,0.023926788694833397,0.016653822293458104,0.5856576492436246,0.01401290682096506
CHN,23845.619721725896,20701.1336318515,1408975000.0,36.0,China,EAP,UMICs,0.8,0.8333333333333334,0.8166666666666667,0.20226869046930582,0.3163086181925475,0.18948241982064604,0.3420016451899067,0.049940654650300106,0.453054614058699,3.705328168012808,0.06,1.5,0.0,107.87323388467708,4.942675497835314e-05,130.9588537987289,151990689712.6629,184517751031.06406,69641.06209562511,182.00152175697943,256435594117.5401,0.007632492838555028,0.005491945914050263,0.5927051205028748,0.004523817587613087
CIV,6733.15402382668,6791.52899752588,31934230.0,35.3,Cote d'Ivoire,SSA,LMICs,0.44117726619149267,0.5,0.44166666666666665,0.5264144049225482,0.07952118246154648,0.13814416730427057,0.5679760147309054,0.04511878484642958,0.7436744421665441,3.705328168012808,0.06,1.5,0.0,4.386184832540812,2.7066110124625325e-05,7.56263571272734,140069435.2648698,241506948.25644878,864.3353859251139,14.953872326445607,477540398.2633491,0.0022209312713667604,0.0011231936304984802,0.2933143159704485,0.0006514309366783198
CMR,4919.14166939977,4776.17502339118,29123744.0,42.2,Cameroon,SSA,LMICs,0.5426972877468083,0.8333333333333334,0.5,0.4033385932793022,0.06723599940744276,0.17505955321784536,0.5446579951658659,0.03939562807173608,0.694882022728834,3.705328168012808,0.06,1.5,0.0,7.7168750109248485,8.606514172332592e-05,11.330028995876695,224744292.2981725,329972863.98849,2506.539154873863,29.693492637886855,864785678.0517014,0.006036315811475711,0.0023032532415882176,0.25988438291959787,0.0015687442097731769
COD,1504.14374011806,2366.06396799477,109276265.0,44.7,"Congo, Dem. Rep.",SSA,LICs,0.4,0.5,0.375,0.32771689599153253,0.08847041737891008,0.09357661645361218,0.7288662472700009,0.037581139773624636,0.8630303625057251,3.705328168012808,0.06,1.5,0.0,11.887063024600423,0.000759841267959288,25.258788352676582,1298973849.1479375,2760186049.606,83032.61575545515,44.32583116088515,4843761272.282144,0.029469145786164046,0.01679280222958879,0.2681746221848635,0.007902877037315206
COG,6181.470532935719,6179.09575375705,6332961.0,48.9,"Congo, Rep.",SSA,LMICs,0.40199863103833433,0.6666666666666666,0.425,0.17760605179703118,0.1494981356686363,0.1373950572849796,0.5933330463584174,0.04511878484642958,0.756196439862729,3.705328168012808,0.06,1.5,0.0,52.808337705585394,0.0006056929655778211,103.83924199876009,334433143.1643018,657609869.8477099,3835.8299289786837,294.3677543919837,1864219508.2220113,0.04762099128735664,0.016798469141847464,0.17939579630473101,0.008543005652816002
COL,18503.6706011465,18663.3528780714,52886363.0,53.9,Colombia,LAC,UMICs,0.5172414705972652,0.8333333333333334,1.0,0.34146505174868186,0.13311532806564225,0.3619004552939608,0.43585834358158726,0.03241961039098461,0.465934825340389,3.705328168012808,0.06,1.5,0.0,104.3966862835624,0.00014386555197939903,131.09762710282214,5521161046.789601,6933276695.398489,7608.525805177866,362.1126104533239,19150818963.31208,0.019569771763602795,0.007084952490166965,0.2882989525078113,0.005641944700263629
COM,3567.51386511576,3554.22701083097,866628.0,45.3,Comoros,SSA,LMICs,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.24532955097242454,0.08425664877534447,0.27516881865712545,0.5391283688308395,0.04511878484642958,0.574777515841956,3.705328168012808,0.06,1.5,0.0,25.7184274100227,0.00045210923756368435,46.630217544733675,22288309.30949315,40411052.17035746,391.8105243313406,96.33672654469875,83488104.6519792,0.02700388286832146,0.013070788035527537,0.26696389147175087,0.007209061655374442
