iso3,hazard,rp,income_cat,di
ALB,Earthquake,25.0,tot,138.67020058575133
ALB,Earthquake,50.0,0.2,506.6590106665316
ALB,Earthquake,50.0,0.4,264.00105771855203
ALB,Earthquake,50.0,0.6,197.6241221744001
ALB,Earthquake,50.0,0.8,269.25214243925944
ALB,Earthquake,50.0,1.0,146.0175288214192
ALB,Earthquake,50.0,tot,276.7107723640325
ALB,Earthquake,100.0,0.2,1008.7381614354515
ALB,Earthquake,100.0,0.4,525.6157217645994
ALB,Earthquake,100.0,0.6,393.46185395034144
ALB,Earthquake,100.0,0.8,536.0704248986456
ALB,Earthquake,100.0,1.0,290.7151564656786
ALB,Earthquake,100.0,tot,550.9202637029433
ALB,Earthquake,250.0,0.2,2487.4788530553146
ALB,Earthquake,250.0,0.4,1296.1321804880567
ALB,Earthquake,250.0,0.6,970.2498414382037
ALB,Earthquake,250.0,0.8,1321.9127585955641
ALB,Earthquake,250.0,1.0,716.883559695994
ALB,Earthquake,250.0,tot,1358.5314386546265
ALB,Earthquake,500.0,0.2,4205.577543061201
ALB,Earthquake,500.0,0.4,2191.3691384367735
ALB,Earthquake,500.0,0.6,1640.4002547797586
ALB,Earthquake,500.0,0.8,2234.956331229548
ALB,Earthquake,500.0,1.0,1212.0341831023427
ALB,Earthquake,500.0,tot,2296.8674901219247
ALB,Earthquake,1000.0,0.2,5453.552740829728
ALB,Earthquake,1000.0,0.4,2841.642330625705
ALB,Earthquake,1000.0,0.6,2127.177352911255
ALB,Earthquake,1000.0,0.8,2898.1637125967236
ALB,Earthquake,1000.0,1.0,1571.696698861917
ALB,Earthquake,1000.0,tot,2978.446567165066
ALB,Earthquake,2500.0,0.2,7582.136610632239
ALB,Earthquake,2500.0,0.4,3950.7677606289
ALB,Earthquake,2500.0,0.6,2957.438948754408
ALB,Earthquake,2500.0,0.8,4029.350082996024
ALB,Earthquake,2500.0,1.0,2185.147856374757
ALB,Earthquake,2500.0,tot,4140.968251877266
ALB,Earthquake,5000.0,0.2,9635.538226865237
ALB,Earthquake,5000.0,0.4,5020.718530661272
ALB,Earthquake,5000.0,0.6,3758.37544319411
ALB,Earthquake,5000.0,0.8,5120.582594052386
ALB,Earthquake,5000.0,1.0,2776.9317255411347
ALB,Earthquake,5000.0,tot,5262.429304062828
ALB,Earthquake,AAL,0.2,75.79242808617747
ALB,Earthquake,AAL,0.4,39.49259908648443
ALB,Earthquake,AAL,0.6,29.563102111403218
ALB,Earthquake,AAL,0.8,40.27812239247496
ALB,Earthquake,AAL,1.0,21.84313871761545
ALB,Earthquake,AAL,tot,41.39387807883111
ALB,Flood,10.0,0.2,261.9101474190495
ALB,Flood,10.0,0.4,514.8087505441366
ALB,Flood,10.0,0.6,639.0838573875205
ALB,Flood,10.0,0.8,199.22707907640682
ALB,Flood,10.0,1.0,286.0277569777606
ALB,Flood,10.0,tot,380.2115182809748
ALB,Flood,25.0,0.2,531.4207360643359
ALB,Flood,25.0,0.4,1044.5568751057133
ALB,Flood,25.0,0.6,1296.7134616450323
ALB,Flood,25.0,0.8,404.2355825081381
ALB,Flood,25.0,1.0,580.3558306000062
ALB,Flood,25.0,tot,771.4564971846452
ALB,Flood,50.0,0.2,735.0397939376344
ALB,Flood,50.0,0.4,1444.7890684884756
ALB,Flood,50.0,0.6,1793.561919887761
ALB,Flood,50.0,0.8,559.122403595989
ALB,Flood,50.0,1.0,802.7248490414361
ALB,Flood,50.0,tot,1067.0476069902593
ALB,Flood,100.0,0.2,815.8986229803712
ALB,Flood,100.0,0.4,1603.724616271401
ALB,Flood,100.0,0.6,1990.8645936394068
ALB,Flood,100.0,0.8,620.6292542715654
ALB,Flood,100.0,1.0,891.0294440746953
ALB,Flood,100.0,tot,1184.429306247488
ALB,Flood,250.0,0.2,860.9939198872478
ALB,Flood,250.0,0.4,1692.363615885654
ALB,Flood,250.0,0.6,2100.9010950170273
ALB,Flood,250.0,0.8,654.9318743547313
ALB,Flood,250.0,1.0,940.2772748732655
ALB,Flood,250.0,tot,1249.8935560035852
ALB,Flood,500.0,0.2,899.7505761568599
ALB,Flood,500.0,0.4,1768.543427878593
ALB,Flood,500.0,0.6,2195.470754239097
ALB,Flood,500.0,0.8,684.4128833933306
ALB,Flood,500.0,1.0,982.6027806621527
ALB,Flood,500.0,tot,1306.1560844660066
ALB,Flood,1000.0,0.2,944.4724231434955
ALB,Flood,1000.0,0.4,1856.4483769464068
ALB,Flood,1000.0,0.6,2304.5960048770276
ALB,Flood,1000.0,0.8,718.431431486452
ALB,Flood,1000.0,1.0,1031.4427729554884
ALB,Flood,1000.0,tot,1371.078201881774
ALB,Flood,2500.0,0.2,1015.9297165284186
ALB,Flood,2500.0,0.4,1996.9043321175552
ALB,Flood,2500.0,0.6,2478.9581025082953
ALB,Flood,2500.0,0.8,772.7868200808622
ALB,Flood,2500.0,1.0,1109.4801057888994
ALB,Flood,2500.0,tot,1474.811815404806
ALB,Flood,5000.0,0.2,1080.6438382652873
ALB,Flood,5000.0,0.4,2124.1059563471613
ALB,Flood,5000.0,0.6,2636.8662666424407
ALB,Flood,5000.0,0.8,822.0128832009126
ALB,Flood,5000.0,1.0,1180.153331960497
ALB,Flood,5000.0,tot,1568.7564552832598
ALB,Flood,AAL,0.2,40.90680781472825
ALB,Flood,AAL,0.4,80.406134803761
ALB,Flood,AAL,0.6,99.81621861263301
ALB,Flood,AAL,0.8,31.116563888717323
ALB,Flood,AAL,1.0,44.673650867167645
ALB,Flood,AAL,tot,59.38387519740145
ALB,Tsunami,10.0,0.2,2.459814263463814
ALB,Tsunami,10.0,0.4,4.7708710474472085
ALB,Tsunami,10.0,0.6,6.760242880371208
ALB,Tsunami,10.0,0.8,2.0000300834683147
ALB,Tsunami,10.0,1.0,2.865824352884945
ALB,Tsunami,10.0,tot,3.7713565255270978
ALB,Tsunami,25.0,0.2,5.5287389463809955
ALB,Tsunami,25.0,0.4,10.723126928713697
ALB,Tsunami,25.0,0.6,15.194487915145372
ALB,Tsunami,25.0,0.8,4.495316732099099
ALB,Tsunami,25.0,1.0,6.441297194110363
ALB,Tsunami,25.0,tot,8.476593543289905
ALB,Tsunami,50.0,0.2,9.876830270267163
ALB,Tsunami,50.0,0.4,19.156358379113446
ALB,Tsunami,50.0,0.6,27.14423300448135
ALB,Tsunami,50.0,0.8,8.030670430387728
ALB,Tsunami,50.0,1.0,11.507072358375744
ALB,Tsunami,50.0,tot,15.143032888525088
ALB,Tsunami,100.0,0.2,17.40809588161519
ALB,Tsunami,100.0,0.4,33.76343566519139
ALB,Tsunami,100.0,0.6,47.842212313537814
ALB,Tsunami,100.0,0.8,14.154205045590764
ALB,Tsunami,100.0,1.0,20.281427689846936
ALB,Tsunami,100.0,tot,26.68987531915642
ALB,Tsunami,250.0,0.2,38.450755877074954
ALB,Tsunami,250.0,0.4,74.57619898019318
ALB,Tsunami,250.0,0.6,105.67320164118826
ALB,Tsunami,250.0,0.8,31.26360783759339
ALB,Tsunami,250.0,1.0,44.797330520473345
ALB,Tsunami,250.0,tot,58.952218971304625
ALB,Tsunami,500.0,0.2,69.42168676072555
ALB,Tsunami,500.0,0.4,134.64509103435654
ALB,Tsunami,500.0,0.6,190.7897968713676
ALB,Tsunami,500.0,0.8,56.44550648757109
ALB,Tsunami,500.0,1.0,80.88023697248008
ALB,Tsunami,500.0,tot,106.43646362530016
ALB,Tsunami,1000.0,0.2,125.59863210098452
ALB,Tsunami,1000.0,0.4,243.601676106133
ALB,Tsunami,1000.0,0.6,345.17941905475493
ALB,Tsunami,1000.0,0.8,102.12195545638926
ALB,Tsunami,1000.0,1.0,146.32959240474773
ALB,Tsunami,1000.0,tot,192.56625502460187
ALB,Tsunami,2500.0,0.2,272.86862421677563
ALB,Tsunami,2500.0,0.4,529.2354948781347
ALB,Tsunami,2500.0,0.6,749.9176671740116
ALB,Tsunami,2500.0,0.8,221.86449821608352
ALB,Tsunami,2500.0,1.0,317.90755913313444
ALB,Tsunami,2500.0,tot,418.358768723628
ALB,Tsunami,5000.0,0.2,489.72350865488403
ALB,Tsunami,5000.0,0.4,949.830945937279
ALB,Tsunami,5000.0,0.6,1345.894245719454
ALB,Tsunami,5000.0,0.8,398.18524692680984
ALB,Tsunami,5000.0,1.0,570.5559066509089
ALB,Tsunami,5000.0,tot,750.8379707778671
ALB,Tsunami,AAL,0.2,1.6888030211721976
ALB,Tsunami,AAL,0.4,3.2754755341592903
ALB,Tsunami,AAL,0.6,4.641292950367764
ALB,Tsunami,AAL,0.8,1.3731349141135365
ALB,Tsunami,AAL,1.0,1.9675521429353018
ALB,Tsunami,AAL,tot,2.589251712549618
ALB,all_hazards,10.0,0.2,366.20370216272767
ALB,all_hazards,10.0,0.4,572.6413744317157
ALB,all_hazards,10.0,0.6,685.5647075135087
ALB,all_hazards,10.0,0.8,255.34428110325118
ALB,all_hazards,10.0,1.0,318.24174414334584
ALB,all_hazards,10.0,tot,439.5991618709098
ALB,all_hazards,25.0,0.2,790.8554073221491
ALB,all_hazards,25.0,0.4,1187.5808854294555
ALB,all_hazards,25.0,0.6,1410.9448480097055
ALB,all_hazards,25.0,0.8,543.6632991652956
ALB,all_hazards,25.0,1.0,659.9720166418265
ALB,all_hazards,25.0,tot,918.6032913136863
ALB,all_hazards,50.0,0.2,1251.575634874433
ALB,all_hazards,50.0,0.4,1727.9464845861412
ALB,all_hazards,50.0,0.6,2018.3302750666423
ALB,all_hazards,50.0,0.8,836.4052164656362
ALB,all_hazards,50.0,1.0,960.249450221231
ALB,all_hazards,50.0,tot,1358.9014122428166
ALB,all_hazards,100.0,0.2,1842.0448802974379
ALB,all_hazards,100.0,0.4,2163.1037737011916
ALB,all_hazards,100.0,0.6,2432.168659903286
ALB,all_hazards,100.0,0.8,1170.8538842158018
ALB,all_hazards,100.0,1.0,1202.0260282302208
ALB,all_hazards,100.0,tot,1762.0394452695878
ALB,all_hazards,250.0,0.2,3386.9235288196373
ALB,all_hazards,250.0,0.4,3063.071995353904
ALB,all_hazards,250.0,0.6,3176.824138096419
ALB,all_hazards,250.0,0.8,2008.108240787889
ALB,all_hazards,250.0,1.0,1701.9581650897328
ALB,all_hazards,250.0,tot,2667.3772136295165
ALB,all_hazards,500.0,0.2,5174.749805978787
ALB,all_hazards,500.0,0.4,4094.5576573497233
ALB,all_hazards,500.0,0.6,4026.6608058902234
ALB,all_hazards,500.0,0.8,2975.8147211104497
